ip_request_rate,method_encoded,avg_time_between_requests,unique_endpoints,is_sensitive_endpoint
14,0,2.351,7,0
4,1,1.799,4,1
106,0,0.135,1,0
9,0,2.717,6,0
13,1,2.561,4,0
130,1,0.084,1,0
5,0,2.049,3,0
7,0,1.948,6,0
11,1,2.62,7,0
14,1,2.339,3,0
6,1,4.782,2,1
8,1,4.669,2,0
14,1,4.943,3,0
13,0,1.278,7,0
2,1,1.383,2,0
5,0,2.733,7,0
6,0,1.912,3,0
14,0,0.747,5,0
10,1,1.394,3,1
13,0,1.14,5,0
8,0,3.678,4,0
6,1,4.076,4,0
14,1,2.423,7,0
14,1,1.075,2,0
12,1,3.022,3,1
181,1,0.138,1,1
11,1,3.949,2,0
3,0,1.699,6,0
2,0,1.373,5,0
3,0,2.295,2,0
3,1,2.094,3,0
9,0,3.957,7,0
191,2,0.065,1,0
169,3,0.067,1,1
8,0,3.683,7,0
9,1,0.545,5,0
13,0,2.311,7,0
163,2,0.175,1,0
10,0,3.968,2,1
14,1,3.086,3,0
9,1,3.706,6,0
8,0,4.538,6,0
14,1,4.429,3,1
12,1,2.629,3,0
158,3,0.168,1,0
13,1,3.574,2,0
121,0,0.125,1,1
2,1,0.907,3,1
6,1,3.734,6,0
12,0,4.727,3,0
1,1,2.899,6,0
1,1,2.172,6,0
2,1,3.36,6,0
9,1,1.137,6,0
4,0,1.686,2,0
12,1,3.869,5,0
5,1,0.912,6,1
1,1,3.327,6,0
8,1,3.747,4,0
2,0,3.805,6,0
1,0,2.879,3,0
189,2,0.107,1,0
9,1,2.09,2,0
52,2,0.129,1,1
12,1,2.001,7,0
8,0,3.275,5,0
12,0,2.055,2,1
10,0,3.103,3,0
7,1,2.583,5,0
8,1,3.768,7,0
4,0,1.225,6,0
1,1,1.214,5,0
121,1,0.05,1,0
5,0,3.126,7,0
12,0,1.289,7,0
9,1,3.95,4,0
61,1,0.032,1,1
3,0,3.864,4,0
11,1,3.077,3,0
1,0,4.597,2,0
1,1,4.035,2,0
12,0,1.693,5,0
6,0,1.904,4,0
9,0,2.32,3,0
9,0,0.823,3,1
3,1,4.195,4,0
2,0,4.631,7,0
8,1,4.493,2,0
14,0,4.586,5,0
75,1,0.084,1,1
190,1,0.163,1,0
1,1,3.294,2,0
1,0,3.232,5,0
4,0,0.838,2,1
7,0,1.571,7,0
10,1,3.043,3,0
3,1,0.806,6,0
5,0,3.951,7,1
1,0,0.913,3,1
5,1,4.122,2,1
11,0,4.565,3,0
8,1,3.14,7,0
8,0,2.758,5,0
163,0,0.147,1,0
82,0,0.142,1,0
7,0,1.289,3,0
12,1,2.596,7,0
3,1,1.037,5,0
2,0,1.936,5,0
4,1,4.038,2,0
92,2,0.09,1,0
8,1,2.218,4,0
1,0,2.931,4,0
11,0,1.136,5,0
9,1,3.124,7,0
9,0,1.188,3,0
195,1,0.087,1,1
2,1,2.405,6,0
1,0,2.117,6,0
4,0,3.678,4,0
2,1,3.818,4,0
2,0,4.047,3,0
4,0,4.071,2,0
1,0,3.879,7,0
8,1,3.052,5,0
6,0,3.277,7,0
10,1,1.422,7,0
12,1,4.904,7,0
95,0,0.178,1,1
11,0,2.704,5,0
9,0,4.71,4,0
10,0,3.185,3,1
62,2,0.144,1,0
2,0,1.171,4,0
3,1,3.473,6,0
7,0,1.499,7,0
6,1,2.74,6,1
13,1,4.714,3,0
13,1,4.426,3,1
8,1,1.903,7,0
14,1,4.523,4,0
14,1,3.699,3,0
7,1,1.283,5,0
10,1,4.538,5,1
5,1,1.673,4,0
1,0,3.498,2,0
3,0,3.809,7,0
1,0,1.376,3,0
9,1,4.003,3,0
6,1,1.298,7,0
14,0,1.227,3,0
2,1,3.622,7,0
1,1,4.52,3,0
8,1,1.757,2,1
13,0,1.5,4,0
6,1,3.635,3,0
57,0,0.102,1,1
9,0,3.241,4,1
8,0,4.944,5,0
13,1,2.233,5,0
3,0,2.412,6,0
9,0,4.772,6,1
4,0,2.208,4,0
2,1,2.721,2,0
11,0,1.918,6,0
9,0,4.924,5,0
14,1,2.662,3,0
3,0,1.528,5,0
13,0,3.729,7,0
10,1,0.659,3,0
11,1,1.343,5,0
2,0,4.71,4,0
12,0,2.299,3,0
5,0,0.884,6,0
11,1,3.635,7,1
30,1,0.02,1,1
5,1,0.671,7,0
7,0,3.764,5,0
12,1,3.857,6,0
10,1,3.095,3,0
7,1,2.702,2,0
10,0,2.892,6,0
4,1,2.963,5,0
14,0,4.533,7,0
7,1,4.973,3,0
1,1,4.409,5,0
2,0,0.728,7,0
124,0,0.153,1,1
12,0,3.978,3,1
4,0,2.406,6,0
12,1,4.424,3,1
12,1,4.708,5,0
13,0,4.883,4,1
5,1,3.259,7,0
8,0,0.698,6,0
9,1,1.297,2,0
10,0,0.971,4,1
147,1,0.182,1,0
13,0,3.671,4,0
3,0,1.604,5,0
10,1,0.852,5,0
10,1,1.388,3,0
6,1,1.933,3,0
4,1,3.815,7,0
8,0,3.256,2,0
2,0,3.553,6,0
5,0,1.986,5,0
9,1,3.903,4,0
3,0,2.87,2,0
1,0,4.261,3,0
4,1,3.545,5,0
184,1,0.151,1,0
62,1,0.194,1,1
8,0,1.91,3,0
2,1,3.53,6,0
2,1,3.387,2,0
5,1,4.426,4,0
3,0,0.691,7,0
3,1,2.444,2,0
7,1,0.566,6,0
3,1,4.849,6,0
4,0,2.912,7,1
6,0,1.121,5,0
1,1,4.699,6,1
11,0,2.457,5,0
7,1,1.14,5,1
6,1,0.672,5,0
7,1,4.024,6,1
173,1,0.142,1,1
184,2,0.141,1,1
10,1,3.401,7,0
9,0,4.705,5,0
8,0,1.704,3,0
11,1,4.31,3,0
6,1,2.972,5,0
1,0,2.823,4,0
7,1,0.695,7,0
8,1,4.909,3,0
4,0,1.997,4,0
2,1,2.306,6,0
4,1,2.381,2,1
14,0,1.685,2,0
11,0,2.714,5,0
10,0,3.85,3,0
14,0,2.461,4,0
175,0,0.088,1,0
12,0,4.67,2,0
2,0,4.546,7,0
23,3,0.148,1,0
12,0,4.537,5,1
13,1,4.514,4,0
3,1,3.558,4,0
5,0,3.395,6,1
14,0,3.27,5,0
9,1,2.603,2,0
14,1,1.502,3,0
13,1,0.92,2,0
8,1,0.75,2,0
2,0,2.115,5,0
6,1,1.355,5,0
9,0,4.342,7,0
2,0,4.028,5,0
6,0,4.059,5,0
4,1,1.653,4,0
12,0,4.267,7,0
12,1,2.407,4,0
1,1,1.339,4,0
10,1,0.712,7,0
13,0,1.786,7,0
5,0,0.691,7,0
12,0,0.75,6,1
10,1,4.523,6,0
11,0,4.13,3,0
57,0,0.058,1,1
2,1,0.682,3,0
6,0,3.378,3,1
2,1,4.712,3,1
1,1,0.664,5,0
11,1,3.707,6,0
10,0,4.258,7,0
3,0,4.422,4,1
4,1,2.777,7,0
7,1,3.918,5,0
8,1,4.1,5,0
26,3,0.012,1,0
2,1,0.774,2,0
3,0,1.04,4,0
6,1,1.509,7,0
7,1,2.342,3,0
7,0,4.037,5,0
14,0,2.015,4,0
87,1,0.059,1,0
6,0,1.227,5,0
5,1,2.815,3,0
4,0,3.955,6,0
12,0,4.215,5,0
14,0,4.169,4,1
14,0,3.328,7,0
9,0,1.129,2,0
164,0,0.171,1,0
167,3,0.138,1,0
6,1,1.497,4,0
5,1,1.009,5,1
2,1,1.992,2,0
6,0,3.686,3,1
2,1,4.442,4,0
2,0,1.513,5,0
6,0,2.469,6,1
2,1,3.538,3,0
185,0,0.198,1,1
4,1,1.324,2,0
1,0,2.34,3,0
2,1,0.932,4,0
14,0,1.133,3,0
5,1,3.6,6,0
9,1,3.697,6,0
8,0,3.975,3,1
13,1,0.638,4,0
10,1,2.576,7,0
10,1,2.327,2,1
14,0,4.656,6,0
2,0,2.879,2,0
2,0,4.512,7,1
1,1,4.119,3,0
122,0,0.115,1,1
14,0,1.509,4,0
4,1,1.399,7,0
12,1,3.237,4,0
2,1,3.037,3,0
4,1,4.355,6,0
8,0,1.436,5,1
5,0,2.538,5,0
10,0,4.791,3,0
9,0,4.483,3,0
12,0,3.18,5,0
2,1,2.635,2,1
11,0,3.576,2,1
3,0,2.565,3,0
5,0,2.475,2,0
6,0,2.828,6,0
11,1,2.336,4,0
12,1,2.827,7,0
1,0,1.331,6,0
5,0,2.87,6,0
4,0,3.384,3,0
9,1,0.951,3,0
2,0,4.667,6,0
13,0,4.88,4,0
7,1,4.141,6,0
11,1,2.795,5,0
7,0,2.254,2,0
3,1,0.59,7,0
171,0,0.151,1,0
12,1,4.885,5,0
3,0,1.123,2,0
3,0,4.566,6,0
4,1,3.267,2,0
2,0,4.06,5,0
181,0,0.112,1,0
2,1,2.702,2,0
9,1,1.128,2,0
6,0,4.815,5,0
13,0,1.481,2,0
8,0,2.313,5,0
100,2,0.13,1,0
5,1,3.778,3,0
14,1,4.496,5,0
7,0,1.897,4,0
4,1,0.995,5,0
4,0,0.911,4,1
14,0,1.4,7,0
10,1,4.484,7,0
8,0,1.292,7,0
1,0,2.306,4,0
7,0,3.622,6,0
12,0,4.458,2,1
11,1,2.593,6,0
4,0,2.935,4,0
4,0,1.96,3,0
2,0,3.013,7,0
11,0,0.989,6,0
10,0,1.353,2,1
3,1,0.588,2,0
6,0,2.107,3,0
9,0,3.813,5,0
9,1,4.583,6,0
8,1,1.859,5,0
7,1,0.575,3,1
10,1,3.67,4,0
5,0,4.051,3,0
3,0,3.432,6,0
8,0,1.711,7,0
2,1,2.083,7,1
8,1,3.212,6,0
154,3,0.021,1,0
12,1,3.76,2,1
9,0,1.488,3,1
8,1,2.98,2,0
88,1,0.115,1,1
11,1,4.687,6,0
14,0,3.888,3,0
14,0,0.553,6,0
11,1,2.28,6,0
14,1,1.484,7,0
4,0,4.46,3,0
9,0,3.094,4,0
3,0,1.157,5,0
7,0,1.195,6,0
2,1,1.377,4,0
10,0,1.25,6,0
13,0,2.175,6,0
7,0,1.215,6,1
13,1,3.318,6,0
6,1,1.271,6,0
10,1,4.979,5,0
9,0,3.516,7,1
12,1,0.802,4,0
6,0,1.011,5,0
3,1,1.767,3,0
2,0,3.692,7,0
3,1,2.538,4,0
115,3,0.063,1,1
8,0,3.939,4,0
4,1,3.209,2,1
11,1,2.425,6,0
10,1,3.528,3,0
8,1,4.884,5,0
2,0,4.193,3,0
4,1,2.526,2,0
6,0,3.849,5,0
22,1,0.063,1,1
3,0,0.719,2,1
12,1,3.422,6,1
4,1,3.673,3,1
6,0,2.82,5,0
13,1,3.104,6,0
5,0,0.843,2,0
5,0,2.797,3,0
14,1,4.023,2,0
5,1,4.003,6,0
5,0,4.814,4,0
4,1,1.14,2,0
68,0,0.088,1,0
14,0,2.998,3,0
1,0,1.997,2,0
10,0,2.207,3,0
5,0,2.377,4,0
10,1,2.645,4,0
6,0,0.597,5,1
11,1,1.891,4,0
8,1,3.136,7,0
11,0,2.694,7,0
4,1,4.453,6,0
6,1,0.874,3,0
7,0,1.318,7,1
14,1,2.459,3,0
10,0,2.002,6,0
13,0,4.457,5,0
10,0,4.122,2,1
6,1,4.931,6,0
6,1,1.138,5,0
11,0,1.423,4,0
5,0,1.619,3,0
12,1,2.312,7,0
8,1,0.702,6,0
9,0,0.878,7,0
10,0,2.607,4,0
12,0,2.99,4,0
7,1,2.412,6,0
78,3,0.053,1,0
5,1,4.79,2,0
11,1,1.056,5,0
14,1,2.262,5,0
11,1,3.12,7,0
2,0,4.34,5,0
11,1,1.687,3,0
1,0,3.835,3,0
8,1,0.57,3,0
60,0,0.111,1,1
68,3,0.174,1,0
6,0,1.031,3,0
7,0,4.125,2,0
3,0,3.89,4,1
5,1,4.981,4,0
7,0,3.143,3,0
13,1,3.229,2,0
3,0,3.363,7,0
4,0,2.584,2,1
7,0,4.54,5,0
9,1,3.748,7,0
5,1,1.963,6,0
14,0,0.68,3,0
6,0,2.196,4,0
2,1,1.761,6,1
6,0,2.558,4,0
12,1,0.776,7,0
12,1,1.893,5,0
10,1,2.22,5,0
65,1,0.154,1,1
6,1,4.487,4,0
2,0,4.006,2,0
3,0,4.274,5,0
12,0,1.393,4,0
10,1,2.788,7,0
3,1,4.879,3,0
6,1,1.058,6,0
6,1,1.284,2,0
3,0,2.216,7,1
14,1,1.713,2,0
7,1,3.024,7,0
37,2,0.195,1,1
9,0,1.769,5,0
13,0,1.942,7,0
4,0,4.189,3,1
9,1,4.619,2,0
14,1,1.143,4,0
5,1,4.277,6,0
1,1,2.044,2,0
8,0,2.013,7,1
14,0,2.754,7,0
13,0,1.186,2,0
10,1,1.056,3,0
14,0,1.162,5,0
7,1,0.815,7,1
11,1,0.677,2,0
9,0,3.845,6,0
10,1,2.037,4,0
6,0,2.097,4,0
14,0,2.737,5,1
2,1,3.282,3,0
14,0,3.499,3,0
7,0,3.012,3,0
11,1,4.545,3,0
4,0,0.67,6,0
4,0,1.36,3,0
1,1,3.868,7,0
13,1,2.71,4,0
6,1,1.545,6,0
5,1,4.764,5,0
3,1,4.334,6,0
14,1,4.211,5,1
5,0,4.565,6,0
13,1,2.331,4,1
1,0,0.607,2,0
9,1,1.062,4,0
7,1,3.86,6,0
11,1,2.106,2,0
11,1,1.219,3,0
13,1,2.789,6,0
3,1,3.882,7,1
11,1,2.501,5,0
170,1,0.016,1,1
1,1,1.156,4,0
14,0,3.504,3,0
5,1,2.439,4,0
153,0,0.155,1,0
11,1,0.838,5,0
3,0,4.835,2,0
5,0,4.684,2,1
179,2,0.107,1,0
14,1,2.05,4,0
5,0,4.308,5,0
5,1,4.635,3,0
5,1,2.12,5,0
3,0,2.567,6,0
10,1,1.626,6,0
10,1,1.453,2,0
146,0,0.186,1,0
12,1,3.029,2,0
9,1,0.796,2,0
11,0,4.401,4,1
2,1,1.913,2,0
146,1,0.058,1,1
5,0,2.363,3,0
6,1,0.513,7,0
14,0,1.266,7,0
14,1,3.622,4,0
9,0,4.433,7,0
10,0,1.942,5,0
4,1,3.18,3,0
14,0,2.047,2,0
7,0,0.808,2,0
4,1,3.417,6,0
1,0,1.141,2,0
12,1,2.529,5,0
174,1,0.132,1,1
5,1,4.33,6,0
3,1,4.897,2,0
6,0,3.511,4,0
7,0,3.467,4,0
2,1,4.731,2,1
2,1,4.22,3,1
14,0,4.13,5,0
12,0,4.657,7,0
12,1,4.679,4,0
2,1,3.998,4,0
10,0,1.319,3,1
1,1,0.524,4,1
3,1,3.572,5,0
4,1,3.805,2,1
10,0,3.798,5,0
13,1,3.127,3,0
4,0,0.55,3,0
13,0,3.58,2,0
8,1,4.236,3,0
1,0,4.628,6,0
12,1,1.227,7,0
3,0,3.582,4,0
4,1,4.244,2,0
11,0,4.62,5,0
11,0,1.35,2,0
176,1,0.168,1,1
8,1,4.081,2,0
10,1,4.163,7,0
3,0,3.652,2,0
13,1,1.683,6,1
7,0,4.032,3,0
34,2,0.197,1,0
7,0,2.13,7,0
10,1,1.407,4,0
12,0,1.032,3,0
5,0,2.339,4,0
8,0,3.242,7,0
9,1,1.191,3,0
6,0,1.442,5,0
6,1,3.013,6,0
1,1,0.788,4,0
5,1,4.203,2,0
3,0,3.836,5,0
10,1,1.237,7,0
8,1,1.475,6,1
3,1,1.872,4,0
49,1,0.174,1,0
4,1,2.171,5,1
11,0,3.836,2,0
13,1,0.502,7,0
13,0,2.371,5,1
5,1,4.058,2,0
14,0,3.878,2,0
12,0,4.265,4,0
14,1,4.25,5,0
3,1,2.243,5,0
2,1,4.292,3,0
8,0,2.056,6,0
3,0,1.658,2,0
1,1,3.701,2,0
12,0,0.632,7,1
7,1,1.978,2,0
2,1,1.818,7,0
2,0,3.085,7,0
2,0,3.318,2,0
10,1,1.859,2,0
13,0,3.427,7,0
11,1,2.577,2,0
10,1,3.026,7,1
3,1,1.323,3,0
6,0,2.965,3,0
1,0,4.022,5,0
14,1,2.434,2,0
7,0,3.583,2,1
11,1,4.113,7,0
10,1,1.955,5,0
12,0,1.925,2,0
6,1,1.302,6,0
11,0,1.829,5,1
7,0,2.039,3,0
6,0,1.091,7,1
5,0,4.721,2,0
11,1,0.696,6,0
3,0,4.988,4,0
8,0,1.528,6,0
8,0,4.77,6,0
3,0,2.18,2,0
158,3,0.2,1,1
1,1,0.619,6,1
149,0,0.181,1,1
13,1,4.63,4,0
6,0,4.243,6,0
142,3,0.063,1,0
10,1,2.809,7,0
1,0,0.998,7,0
6,0,1.523,6,0
5,0,2.446,4,0
2,0,4.527,5,0
2,0,4.17,4,1
2,1,4.688,3,0
9,1,3.354,6,0
6,1,2.892,2,0
4,0,2.545,4,0
2,0,2.111,4,0
14,0,1.136,5,0
8,0,1.023,6,0
6,1,1.451,5,0
1,0,1.265,2,0
3,0,3.993,5,0
6,1,4.247,4,0
8,0,0.615,4,1
9,0,4.101,3,1
9,0,2.558,6,0
2,0,1.498,6,0
9,1,3.0,7,0
7,1,3.346,5,0
2,1,3.392,7,1
4,0,0.556,2,0
7,1,3.948,2,1
143,0,0.096,1,0
4,0,2.929,4,0
12,0,2.999,4,1
12,0,3.897,6,0
6,1,0.712,4,0
10,0,1.024,2,0
5,0,1.122,4,0
5,1,4.139,5,0
7,1,0.743,3,0
4,1,2.252,6,1
14,0,2.881,5,1
6,0,1.122,6,0
6,0,2.858,6,1
5,0,3.065,6,0
11,0,3.015,4,0
13,0,4.415,2,0
14,1,2.944,2,0
14,0,4.483,7,0
3,1,1.431,7,0
8,1,2.264,3,0
187,2,0.012,1,1
10,1,0.821,6,1
2,0,1.42,2,0
3,0,4.287,5,0
70,3,0.074,1,1
4,0,3.277,3,0
8,0,4.638,6,0
13,0,2.755,2,0
8,0,3.413,4,1
5,0,3.096,5,1
3,0,1.466,7,0
14,1,3.216,5,0
8,0,2.433,5,0
6,1,1.981,4,0
8,0,4.58,7,0
11,1,3.018,6,0
11,0,4.619,7,0
13,1,0.927,3,1
198,3,0.136,1,1
90,3,0.069,1,0
14,0,3.997,4,0
9,0,0.891,4,0
6,1,2.572,7,0
8,0,3.369,4,0
46,1,0.134,1,1
2,0,4.536,4,1
6,1,2.315,7,0
10,0,4.725,6,0
2,1,0.825,7,0
1,1,4.716,4,0
21,3,0.159,1,1
11,0,4.68,7,1
1,1,1.059,3,1
1,1,0.62,6,0
5,1,3.466,4,0
9,0,0.553,2,0
150,2,0.198,1,1
8,1,0.907,4,1
10,0,3.188,6,0
9,0,2.805,4,0
1,0,2.496,4,0
12,0,4.731,6,0
2,1,3.909,6,0
1,0,0.778,2,0
5,0,2.319,5,0
12,0,4.751,3,0
13,0,3.86,4,0
6,0,1.216,3,1
5,1,4.726,6,0
1,1,4.049,5,0
14,0,3.013,7,1
2,0,3.459,3,0
14,1,2.223,7,1
2,1,3.221,2,0
5,1,2.262,4,0
12,1,0.715,3,0
1,0,3.852,3,0
11,1,1.561,4,0
6,0,4.541,3,0
1,1,3.381,2,0
6,1,1.451,5,0
5,0,0.936,4,0
9,1,3.605,5,0
9,1,1.523,2,0
5,1,3.056,7,0
12,0,3.069,5,0
12,1,1.392,5,0
2,1,1.538,4,0
10,1,3.072,6,0
1,0,4.639,2,0
8,1,3.642,2,0
169,3,0.187,1,0
3,0,1.173,3,0
13,0,2.152,2,1
4,0,3.054,6,0
3,0,2.001,5,1
4,1,3.978,3,0
11,1,0.57,2,1
3,0,2.017,6,0
7,1,2.811,7,0
158,0,0.049,1,1
3,0,4.376,3,0
118,0,0.118,1,0
11,0,4.979,6,0
14,0,2.634,4,0
5,1,0.599,6,0
8,0,4.107,4,0
14,0,4.462,5,0
12,0,1.226,7,0
3,0,2.772,4,0
92,1,0.026,1,0
8,0,1.399,7,1
13,1,1.543,3,1
71,0,0.127,1,0
11,1,2.569,7,1
11,1,1.691,4,0
1,0,1.827,7,0
73,0,0.171,1,0
2,1,4.973,2,0
6,0,0.93,4,1
4,0,4.412,4,0
6,0,1.126,6,1
12,1,3.23,7,0
14,1,1.815,4,0
9,1,2.501,5,0
11,0,0.612,5,0
6,1,4.172,3,0
5,0,4.719,3,0
5,0,4.609,3,0
8,1,2.443,5,0
2,0,2.325,6,0
6,1,0.737,2,0
5,1,3.801,3,0
10,0,2.909,5,0
11,1,4.437,5,1
11,1,3.238,4,0
10,0,0.625,3,0
4,0,1.173,4,0
4,0,1.523,5,0
11,1,1.932,7,0
13,0,2.961,7,0
8,0,2.26,4,0
6,1,1.756,4,1
172,0,0.145,1,1
4,1,3.035,5,0
9,1,3.006,5,0
1,1,1.528,7,0
4,0,1.345,3,0
13,1,2.559,4,1
14,0,0.743,6,0
38,1,0.119,1,1
8,0,0.981,3,0
10,1,4.714,7,0
135,2,0.145,1,0
10,1,2.72,5,0
8,0,2.271,7,0
4,0,2.715,5,0
7,1,4.254,2,0
11,1,2.352,4,0
3,1,2.018,3,0
4,1,1.603,6,0
10,1,3.849,6,0
7,1,2.949,7,0
8,1,4.818,6,1
6,0,3.897,3,0
169,3,0.063,1,1
4,0,2.91,7,0
14,1,4.734,2,0
5,1,1.285,4,0
1,0,4.79,2,0
6,0,3.964,2,1
11,0,0.691,4,0
13,0,1.572,5,0
9,1,1.515,7,0
6,0,1.2,2,1
14,1,3.624,6,1
5,1,0.804,4,0
14,0,1.615,3,0
7,0,4.189,7,1
12,0,2.235,5,0
14,1,3.939,3,0
10,1,3.711,7,0
4,0,2.375,5,0
